Annee,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International,Airline_Code,Airport_Code,RPM_Total
2002,59854,0.0,774,0,60464,59,38363,0,FA,FKT,38363
2002,55009,0.0,733,0,57649,0,36286,0,FA,FKT,36286
2002,56586,0.0,745,0,66240,0,41907,0,FA,FKT,41907
2003,57448,0.0,754,0,55317,4,35118,0,FA,FKT,35118
2003,54006,0.0,674,0,53216,65,33724,0,FA,FKT,33724
2003,61306,0.0,755,0,62656,68,39839,0,FA,FKT,39839
2003,59205,0.0,739,0,60998,98,38776,0,FA,FKT,38776
2003,60778,0.0,750,0,66503,191,42659,0,FA,FKT,42659
2003,58660,0.0,749,0,71537,153,45628,0,FA,FKT,45628
2003,58967,0.0,769,0,72092,270,46152,0,FA,FKT,46152
2003,59835,0.0,758,0,64000,104,41162,0,FA,FKT,41162
2003,58603,0.0,743,0,55447,58,35554,0,FA,FKT,35554
2003,61480,0.0,773,0,62865,58,40381,0,FA,FKT,40381
2003,54231,0.0,656,0,50931,141,34286,0,FA,FKT,34286
2003,56589,0.0,687,0,56330,183,37553,0,FA,FKT,37553
2004,56186,0.0,690,0,50075,61,33625,0,FA,FKT,33625
2004,50340,0.0,621,0,47066,35,31355,0,FA,FKT,31355
2004,56737,0.0,701,0,57356,36,38286,0,FA,FKT,38286
2004,56421,0.0,687,0,57307,43,38421,0,FA,FKT,38421
2004,57392,0.0,683,0,59912,0,40018,0,FA,FKT,40018
2004,55382,0.0,651,0,59962,0,40070,0,FA,FKT,40070
2004,54610,0.0,641,0,58393,0,39071,0,FA,FKT,39071
2004,53930,0.0,630,0,51419,0,34625,0,FA,FKT,34625
2004,49847,0.0,574,0,47245,0,32005,0,FA,FKT,32005
2004,54755,0.0,633,0,56010,0,37756,0,FA,FKT,37756
2004,53410,0.0,618,0,53956,0,36278,0,FA,FKT,36278
2004,55263,0.0,640,0,60175,0,40453,0,FA,FKT,40453
2005,51011,0.0,592,0,46815,0,31525,0,FA,FKT,31525
2005,47408,0.0,548,0,47022,0,31421,0,FA,FKT,31421
2005,54469,0.0,619,0,58225,0,38784,0,FA,FKT,38784
2005,56520,0.0,620,0,56697,146,38066,0,FA,FKT,38066
2005,60153,0.0,650,0,60327,160,40416,0,FA,FKT,40416
2005,65703,0.0,699,0,69660,256,47284,0,FA,FKT,47284
2005,68125,0.0,722,0,71360,341,48682,0,FA,FKT,48682
2005,67223,0.0,711,0,61817,234,42603,0,FA,FKT,42603
2005,64583,0.0,680,0,62012,118,42467,0,FA,FKT,42467
2005,63408,0.0,668,0,66786,178,45712,0,FA,FKT,45712
2005,61262,0.0,644,0,67391,48,46252,0,FA,FKT,46252
2005,61800,0.0,650,0,70801,73,48229,0,FA,FKT,48229
2006,62079,0.0,655,0,57655,35,39429,0,FA,FKT,39429
2006,55361,0.0,584,0,56441,47,38536,0,FA,FKT,38536
2006,62742,0.0,661,0,69593,74,47338,0,FA,FKT,47338
2006,66036,0.0,696,0,74414,87,50720,0,FA,FKT,50720
2006,68562,0.0,722,0,78972,212,54139,0,FA,FKT,54139
2006,67165,0.0,708,0,79307,264,54173,0,FA,FKT,54173
2006,67248,0.0,710,0,76982,361,52706,0,FA,FKT,52706
2006,68005,0.0,716,0,65043,169,44676,0,FA,FKT,44676
2006,62392,0.0,655,0,58299,102,39941,0,FA,FKT,39941
2006,65455,0.0,687,0,65844,131,44926,0,FA,FKT,44926
